,链接,图片,书名,评分,热评,价格,出版日期,出版社,作者
0,https://book.douban.com/subject/1007305/,https://img1.doubanio.com/view/subject/s/public/s1070959.jpg,红楼梦,9.6,都云作者痴，谁解其中味？, 59.70元, 1996-12 , 人民文学出版社 ,[清] 曹雪芹 著 
1,https://book.douban.com/subject/4913064/,https://img3.doubanio.com/view/subject/s/public/s29053580.jpg,活着,9.4,生的苦难与伟大, 20.00元, 2012-8-1 , 作家出版社 ,余华 
2,https://book.douban.com/subject/4820710/,https://img1.doubanio.com/view/subject/s/public/s4371408.jpg,1984,9.3,栗树荫下，我出卖你，你出卖我, 28.00, 2010-4-1 , 北京十月文艺出版社 ,[英] 乔治·奥威尔 / 刘绍铭 
3,https://book.douban.com/subject/6082808/,https://img3.doubanio.com/view/subject/s/public/s27237850.jpg,百年孤独,9.3,魔幻现实主义文学代表作, 39.50元, 2011-6 , 南海出版公司 ,[哥伦比亚] 加西亚·马尔克斯 / 范晔 
4,https://book.douban.com/subject/1068920/,https://img1.doubanio.com/view/subject/s/public/s1078958.jpg,飘,9.3,革命时期的爱情，随风而逝, 40.00元, 2000-9 , 译林出版社 ,[美国] 玛格丽特·米切尔 / 李美华 
5,https://book.douban.com/subject/6518605/,https://img9.doubanio.com/view/subject/s/public/s28357056.jpg,"三体全集

                
                   : 地球往事三部曲",9.4,地球往事三部曲, 168.00元, 2012-1-1 , 重庆出版社 ,刘慈欣 
6,https://book.douban.com/subject/1019568/,https://img2.doubanio.com/view/subject/s/public/s1076932.jpg,三国演义（全二册）,9.3,是非成败转头空, 39.50元, 1998-05 , 人民文学出版社 ,[明] 罗贯中 
7,https://book.douban.com/subject/27614904/,https://img3.doubanio.com/view/subject/s/public/s29651121.jpg,房思琪的初恋乐园,9.2,向死而生的文学绝唱, 45.00元, 2018-1 , 北京联合出版公司 ,林奕含 
8,https://book.douban.com/subject/2035179/,https://img3.doubanio.com/view/subject/s/public/s2347590.jpg,动物农场,9.2,太阳底下并无新事, 10.00元, 2007-3 , 上海译文出版社 ,[英] 乔治·奥威尔 / 荣如德 
9,https://book.douban.com/subject/10554308/,https://img1.doubanio.com/view/subject/s/public/s24514468.jpg,白夜行,9.1,一宗离奇命案牵出跨度近20年步步惊心的故事, 39.50元, 2013-1-1 , 南海出版公司 ,[日] 东野圭吾 / 刘姿君 
10,https://book.douban.com/subject/1040211/,https://img3.doubanio.com/view/subject/s/public/s1229240.jpg,福尔摩斯探案全集（上中下）,9.3,名侦探的代名词,68.00元, 53.00元, 1981-8 ,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 
11,https://book.douban.com/subject/1084336/,https://img2.doubanio.com/view/subject/s/public/s1103152.jpg,小王子,9.0,献给长成了大人的孩子们, 22.00元, 2003-8 , 人民文学出版社 ,[法] 圣埃克苏佩里 / 马振聘 
